filename	n_seqs	n_bases	min_length	max_length	mean_quality
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5104106_barcode54/FAO12621_pass_barcode54_1505ef04_0.fastq.gz	4000	1326887	127	1118	11.09
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5104106_barcode54/FAO12621_pass_barcode54_1505ef04_2.fastq.gz	4000	1327853	138	639	10.84
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5104106_barcode54/FAO12621_pass_barcode54_1505ef04_3.fastq.gz	4000	1334947	133	2115	10.78
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5104106_barcode54/FAO12621_pass_barcode54_1505ef04_6.fastq.gz	4000	1341992	126	762	10.90
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5104106_barcode54/FAO12621_pass_barcode54_1505ef04_4.fastq.gz	4000	1338030	125	6101	10.92
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5104106_barcode54/FAO12621_pass_barcode54_1505ef04_5.fastq.gz	4000	1326302	141	756	10.86
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5104106_barcode54/FAO12621_pass_barcode54_1505ef04_7.fastq.gz	4000	1327533	148	812	10.90
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5104106_barcode54/FAO12621_pass_barcode54_1505ef04_1.fastq.gz	4000	1330345	132	1150	10.92
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5269074_barcode77/FAO12621_pass_barcode77_1505ef04_1.fastq.gz	4000	1534022	132	7622	11.00
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5269074_barcode77/FAO12621_pass_barcode77_1505ef04_2.fastq.gz	4000	1554491	127	4928	10.91
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5269074_barcode77/FAO12621_pass_barcode77_1505ef04_3.fastq.gz	4000	1539711	136	10237	10.94
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5269074_barcode77/FAO12621_pass_barcode77_1505ef04_4.fastq.gz	4000	1523365	128	5051	10.96
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5269074_barcode77/FAO12621_pass_barcode77_1505ef04_5.fastq.gz	4000	1548129	122	5495	10.99
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5269074_barcode77/FAO12621_pass_barcode77_1505ef04_6.fastq.gz	4000	1560728	136	9034	11.04
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5269074_barcode77/FAO12621_pass_barcode77_1505ef04_0.fastq.gz	4000	1530697	135	5404	11.11
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/417538_barcode19/FAO12621_pass_barcode19_1505ef04_7.fastq.gz	4000	1315256	113	1219	10.92
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/417538_barcode19/FAO12621_pass_barcode19_1505ef04_2.fastq.gz	4000	1317278	130	679	10.98
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/417538_barcode19/FAO12621_pass_barcode19_1505ef04_5.fastq.gz	4000	1321233	106	648	10.96
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/417538_barcode19/FAO12621_pass_barcode19_1505ef04_9.fastq.gz	4000	1318869	127	820	11.01
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/417538_barcode19/FAO12621_pass_barcode19_1505ef04_8.fastq.gz	4000	1309926	134	699	10.96
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/417538_barcode19/FAO12621_pass_barcode19_1505ef04_4.fastq.gz	4000	1322957	116	789	10.90
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/417538_barcode19/FAO12621_pass_barcode19_1505ef04_0.fastq.gz	4000	1318256	121	877	11.16
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/417538_barcode19/FAO12621_pass_barcode19_1505ef04_6.fastq.gz	4000	1318631	138	727	10.93
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/417538_barcode19/FAO12621_pass_barcode19_1505ef04_1.fastq.gz	4000	1314720	123	981	11.02
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/417538_barcode19/FAO12621_pass_barcode19_1505ef04_10.fastq.gz	4000	1317158	120	779	11.05
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/417538_barcode19/FAO12621_pass_barcode19_1505ef04_3.fastq.gz	4000	1321283	133	1008	10.91
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/90483149_barcode75/FAO12621_pass_barcode75_1505ef04_4.fastq.gz	4000	1438729	125	5688	10.98
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/90483149_barcode75/FAO12621_pass_barcode75_1505ef04_3.fastq.gz	4000	1451952	128	4109	11.00
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/90483149_barcode75/FAO12621_pass_barcode75_1505ef04_0.fastq.gz	4000	1436911	150	7655	11.17
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/90483149_barcode75/FAO12621_pass_barcode75_1505ef04_1.fastq.gz	4000	1433523	134	5511	11.01
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/90483149_barcode75/FAO12621_pass_barcode75_1505ef04_2.fastq.gz	4000	1452860	137	5209	10.94
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/90483149_barcode75/FAO12621_pass_barcode75_1505ef04_6.fastq.gz	4000	1481294	125	15438	11.11
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/90483149_barcode75/FAO12621_pass_barcode75_1505ef04_5.fastq.gz	4000	1445551	121	8734	11.04
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/487331_barcode61/FAO12621_pass_barcode61_1505ef04_3.fastq.gz	4000	1341256	127	1175	10.91
